Date,Close/Last,Volume,Open,High,Low
05/04/2021,13544.67,--,13680.63,13705.38,13396.11
05/03/2021,13799.72,--,13923.04,13955.00,13784.66
04/30/2021,13860.76,--,13857.79,13969.21,13838.82
04/29/2021,13970.20,--,14063.94,14073.48,13836.10
04/28/2021,13901.62,--,13953.61,13992.08,13895.15
04/27/2021,13960.28,--,14048.13,14048.34,13931.18
04/26/2021,14026.16,--,13954.94,14039.40,13919.93
04/23/2021,13941.44,--,13794.49,13989.43,13789.45
04/22/2021,13762.36,--,13920.88,13954.03,13716.76
04/21/2021,13935.15,--,13768.92,13939.70,13717.44
04/20/2021,13809.30,--,13891.96,13934.89,13730.59
04/19/2021,13907.67,--,13970.83,14025.64,13835.75
04/16/2021,14041.91,--,14035.96,14050.38,13966.54
04/15/2021,14026.19,--,13934.87,14040.11,13931.01
04/14/2021,13803.91,--,13973.82,13990.54,13782.17
04/13/2021,13986.49,--,13874.58,14002.53,13874.58
04/12/2021,13819.35,--,13792.74,13839.39,13747.63
04/09/2021,13845.05,--,13709.67,13849.31,13674.92
04/08/2021,13758.50,--,13730.73,13763.18,13703.51
04/07/2021,13616.70,--,13553.90,13648.80,13532.63
04/06/2021,13578.46,--,13567.20,13660.29,13551.60
04/05/2021,13598.16,--,13434.04,13623.60,13420.81
04/01/2021,13329.51,--,13268.88,13333.41,13255.82
03/31/2021,13091.44,--,12970.33,13167.06,12966.65
03/30/2021,12896.53,--,12904.01,12929.46,12798.03
03/29/2021,12965.74,--,12950.51,13013.47,12836.60
03/26/2021,12979.12,--,12777.27,12992.30,12721.66
03/25/2021,12780.51,--,12707.58,12845.66,12627.93
03/24/2021,12798.88,--,13072.82,13077.49,12797.85
03/23/2021,13017.79,--,13127.17,13180.66,12993.50
03/22/2021,13086.51,--,12943.14,13167.46,12943.14
03/19/2021,12866.99,--,12792.67,12906.02,12704.07
03/18/2021,12789.14,--,13006.29,13040.36,12781.53
03/17/2021,13202.38,--,13024.83,13280.29,12950.08
03/16/2021,13152.28,--,13156.65,13297.48,13091.78
03/15/2021,13082.54,--,12936.13,13085.01,12885.64
03/12/2021,12937.29,--,12873.39,12943.58,12778.13
03/11/2021,13052.90,--,12960.53,13117.86,12920.01
03/10/2021,12752.07,--,12950.25,12979.38,12726.85
03/09/2021,12794.49,--,12635.45,12868.52,12592.83
03/08/2021,12299.08,--,12629.56,12718.58,12287.57
03/05/2021,12668.51,--,12594.16,12700.95,12208.39
03/04/2021,12464.00,--,12655.92,12799.08,12314.16
03/03/2021,12683.33,--,13020.10,13057.29,12679.89
03/02/2021,13059.95,--,13297.76,13301.62,13052.12
03/01/2021,13282.95,--,13106.02,13293.78,13051.70
02/26/2021,12909.44,--,12958.96,13090.36,12764.34
02/25/2021,12828.31,--,13197.75,13294.56,12773.76
02/24/2021,13302.19,--,13095.86,13312.42,12971.82
02/23/2021,13194.71,--,12982.36,13259.85,12758.12
02/22/2021,13223.74,--,13414.04,13447.37,13220.77
02/19/2021,13580.78,--,13686.23,13701.69,13545.45
02/18/2021,13637.51,--,13556.01,13669.94,13477.17
02/17/2021,13699.71,--,13636.15,13713.14,13552.66
02/16/2021,13773.77,--,13841.03,13879.77,13726.78
02/12/2021,13807.70,--,13695.90,13816.25,13656.78
02/11/2021,13734.35,--,13723.63,13747.20,13637.19
02/10/2021,13655.27,--,13751.42,13770.91,13531.93
02/09/2021,13687.08,--,13667.14,13741.79,13664.70
02/08/2021,13695.02,--,13672.33,13698.41,13607.96
02/05/2021,13603.96,--,13592.77,13642.96,13527.81
02/04/2021,13560.89,--,13454.85,13563.13,13406.44
02/03/2021,13402.37,--,13555.03,13561.45,13400.08
02/02/2021,13456.12,--,13371.37,13501.23,13363.76
02/01/2021,13248.90,--,13067.65,13280.22,12983.10
01/29/2021,12925.38,--,13124.70,13167.87,12845.43
01/28/2021,13201.53,--,13163.32,13401.85,13150.10
01/27/2021,13112.65,--,13371.16,13393.51,13034.14
01/26/2021,13490.19,--,13507.47,13536.30,13440.32
01/25/2021,13483.29,--,13515.63,13563.70,13205.59
01/22/2021,13366.40,--,13356.18,13404.77,13336.90
01/21/2021,13404.99,--,13356.70,13433.69,13297.79
01/20/2021,13296.45,--,13155.12,13332.26,13138.30
01/19/2021,12996.54,--,12921.61,13012.09,12861.30
01/15/2021,12803.93,--,12898.09,12941.29,12758.10
01/14/2021,12898.69,--,13010.94,13037.05,12886.16
01/13/2021,12973.63,--,12911.87,13008.85,12878.02
01/12/2021,12892.09,--,12916.10,12957.43,12783.71
01/11/2021,12902.49,--,12961.50,13023.21,12883.59
01/08/2021,13105.20,--,13037.24,13113.09,12939.73
01/07/2021,12939.57,--,12745.41,12966.68,12744.82
01/06/2021,12623.35,--,12601.26,12803.29,12569.42
01/05/2021,12802.38,--,12663.13,12809.67,12663.13
01/04/2021,12694.66,--,12950.22,12950.22,12537.42
12/31/2020,12888.28,--,12852.96,12904.09,12804.75
12/30/2020,12845.36,--,12900.03,12917.45,12828.79
12/29/2020,12843.49,--,12909.86,12925.53,12816.59
12/28/2020,12838.86,--,12813.97,12861.91,12747.05
12/24/2020,12711.01,--,12668.19,12732.55,12665.80
12/23/2020,12653.14,--,12733.75,12737.59,12649.60
12/22/2020,12717.56,--,12715.48,12761.23,12606.42
12/21/2020,12690.26,--,12575.60,12706.44,12474.03
12/18/2020,12738.18,--,12786.92,12793.47,12611.22
12/17/2020,12752.06,--,12741.64,12760.97,12685.98
12/16/2020,12668.16,--,12607.87,12698.11,12568.71
12/15/2020,12595.92,--,12565.28,12596.84,12467.57
12/14/2020,12462.21,--,12427.86,12544.31,12426.25
12/11/2020,12375.41,--,12327.07,12378.61,12236.80
12/10/2020,12401.74,--,12268.47,12447.85,12226.13
12/09/2020,12364.64,--,12626.97,12643.24,12311.30
12/08/2020,12635.72,--,12574.84,12651.35,12504.97
12/07/2020,12596.47,--,12523.57,12610.00,12523.12
12/04/2020,12528.48,--,12479.91,12531.21,12450.51
12/03/2020,12467.13,--,12469.16,12538.92,12445.36
12/02/2020,12456.41,--,12390.58,12472.25,12318.27
12/01/2020,12455.33,--,12387.62,12510.02,12338.36
11/30/2020,12268.32,--,12278.78,12299.61,12090.93
11/27/2020,12258.21,--,12220.37,12306.71,12214.44
11/25/2020,12152.22,--,12112.11,12174.99,12081.51
11/24/2020,12079.81,--,11952.70,12094.16,11878.31
11/23/2020,11905.94,--,11959.89,12001.83,11817.53
11/20/2020,11906.44,--,11976.00,12017.42,11903.57
11/19/2020,11985.43,--,11863.12,12000.29,11842.66
11/18/2020,11894.71,--,11963.36,12027.15,11892.54
11/17/2020,11977.49,--,12030.27,12047.13,11964.20
11/16/2020,12013.38,--,11925.36,12035.50,11891.85
11/13/2020,11937.84,--,11910.62,11957.09,11808.95
11/12/2020,11827.14,--,11924.15,11976.89,11786.09
11/11/2020,11892.93,--,11734.81,11904.13,11714.32
11/10/2020,11624.29,--,11704.46,11761.95,11512.46
11/09/2020,11830.39,--,12194.71,12268.66,11818.24
11/06/2020,12091.35,--,12044.29,12116.91,11895.50
11/05/2020,12078.07,--,12021.77,12117.04,11977.07
11/04/2020,11777.02,--,11627.76,11846.46,11564.91
11/03/2020,11279.91,--,11155.84,11356.08,11115.55
11/02/2020,11084.76,--,11152.48,11222.52,10957.11
10/30/2020,11052.95,--,11265.70,11293.76,10960.02
10/29/2020,11350.74,--,11214.33,11467.37,11187.08
10/28/2020,11142.76,--,11400.48,11426.10,11136.10
10/27/2020,11598.95,--,11560.86,11633.49,11503.10
10/26/2020,11504.52,--,11584.17,11708.08,11360.73
10/23/2020,11692.57,--,11680.72,11693.01,11569.09
10/22/2020,11662.91,--,11712.64,11739.22,11529.73
10/21/2020,11665.37,--,11686.19,11789.46,11646.47
10/20/2020,11677.84,--,11679.08,11801.39,11613.76
10/19/2020,11634.35,--,11913.01,11962.47,11606.48
10/16/2020,11852.17,--,11952.12,12034.13,11824.14
10/15/2020,11898.57,--,11767.27,11928.63,11765.49
10/14/2020,11985.36,--,12105.10,12159.21,11913.57
10/13/2020,12083.17,--,12131.07,12187.78,12032.75
10/12/2020,12088.11,--,11900.12,12204.75,11880.23
10/09/2020,11725.85,--,11615.57,11727.60,11600.86
10/08/2020,11550.94,--,11576.44,11582.78,11510.24
10/07/2020,11503.19,--,11412.65,11519.55,11382.48
10/06/2020,11291.27,--,11476.68,11536.42,11256.26
10/05/2020,11509.06,--,11345.24,11512.06,11336.07
10/02/2020,11255.69,--,11328.85,11479.08,11225.17
10/01/2020,11583.20,--,11554.96,11606.73,11488.60
09/30/2020,11418.06,--,11328.55,11535.01,11328.55
09/29/2020,11322.95,--,11354.70,11396.22,11305.79
09/28/2020,11364.45,--,11332.32,11369.40,11243.24
09/25/2020,11151.13,--,10910.50,11177.73,10851.68
09/24/2020,10896.47,--,10746.35,11026.43,10728.41
09/23/2020,10833.33,--,11167.22,11179.59,10806.05
09/22/2020,11186.37,--,11082.09,11207.08,10943.26
09/21/2020,10980.22,--,10768.01,10984.76,10677.85
09/18/2020,10936.98,--,11147.80,11153.97,10769.40
09/17/2020,11080.95,--,10965.74,11160.04,10936.80
09/16/2020,11247.60,--,11467.90,11486.09,11242.96
09/15/2020,11438.87,--,11432.94,11495.40,11367.20
09/14/2020,11277.76,--,11250.80,11363.25,11192.82
09/11/2020,11087.40,--,11251.19,11280.41,10945.22
09/10/2020,11154.12,--,11501.43,11566.34,11095.94
09/09/2020,11395.85,--,11308.25,11480.37,11197.13
09/08/2020,11068.26,--,11143.91,11400.45,11055.16
09/04/2020,11622.13,--,11686.24,11846.18,11145.99
09/03/2020,11771.37,--,12195.75,12235.00,11662.11
09/02/2020,12420.54,--,12417.45,12439.48,12176.18
09/01/2020,12292.86,--,12203.36,12300.44,12132.78
08/31/2020,12110.70,--,12017.46,12167.46,12000.11
08/28/2020,11995.85,--,11992.68,12018.14,11928.69
08/27/2020,11926.16,--,11997.89,12047.99,11842.84
08/26/2020,11971.94,--,11779.35,11979.65,11768.00
08/25/2020,11721.81,--,11610.58,11723.94,11580.89
08/24/2020,11626.17,--,11703.34,11728.09,11535.55
08/21/2020,11555.16,--,11476.85,11574.79,11461.53
08/20/2020,11477.05,--,11277.05,11497.18,11268.46
08/19/2020,11318.64,--,11397.23,11440.22,11303.40
08/18/2020,11399.03,--,11339.76,11421.10,11279.08
08/17/2020,11288.57,--,11231.97,11306.47,11228.14
08/14/2020,11164.45,--,11187.82,11213.27,11106.93
08/13/2020,11178.37,--,11174.64,11271.22,11139.64
08/12/2020,11157.72,--,10972.07,11190.26,10970.87
08/11/2020,10876.08,--,11039.68,11090.92,10855.06
08/10/2020,11085.17,--,11153.51,11159.38,10941.87
08/07/2020,11139.39,--,11235.23,11276.30,11044.60
08/06/2020,11267.08,--,11116.49,11282.23,11090.50
08/05/2020,11125.44,--,11107.24,11141.68,11077.70
08/04/2020,11096.54,--,11075.04,11097.85,11002.55
08/03/2020,11055.08,--,11018.02,11085.50,10997.67
07/31/2020,10905.88,--,10886.36,10908.34,10707.40
07/30/2020,10715.51,--,10578.62,10737.03,10531.79
07/29/2020,10662.98,--,10602.40,10694.88,10587.19
07/28/2020,10532.50,--,10644.33,10662.19,10527.43
07/27/2020,10674.38,--,10547.11,10689.55,10527.64
07/24/2020,10483.13,--,10389.53,10543.42,10313.94
07/23/2020,10580.59,--,10853.16,10885.38,10531.21
07/22/2020,10870.75,--,10850.92,10910.24,10776.24
07/21/2020,10833.07,--,11015.54,11017.43,10800.87
07/20/2020,10952.08,--,10672.96,10971.52,10621.90
07/17/2020,10645.22,--,10651.59,10680.70,10558.78
07/16/2020,10626.46,--,10589.86,10658.90,10495.09
07/15/2020,10701.68,--,10752.11,10780.40,10570.96
07/14/2020,10689.52,--,10502.85,10701.88,10370.79
07/13/2020,10602.21,--,10951.54,11069.26,10574.56
07/10/2020,10836.33,--,10751.77,10842.78,10639.48
07/09/2020,10754.59,--,10745.87,10785.96,10574.97
07/08/2020,10666.70,--,10594.41,10669.13,10528.82
07/07/2020,10524.01,--,10595.94,10704.93,10516.63
07/06/2020,10604.06,--,10487.70,10625.10,10485.81
07/02/2020,10341.89,--,10386.38,10432.55,10328.78
07/01/2020,10279.25,--,10160.41,10321.77,10142.75
06/30/2020,10156.85,--,9970.21,10185.35,9956.83
06/29/2020,9961.16,--,9850.55,9965.08,9742.89
06/26/2020,9849.36,--,10087.08,10093.98,9837.74
06/25/2020,10101.83,--,10003.50,10110.29,9901.21
06/24/2020,10002.70,--,10183.77,10232.42,9943.24
06/23/2020,10209.82,--,10192.42,10306.90,10172.07
06/22/2020,10130.33,--,10009.00,10134.64,9989.49
06/19/2020,10008.64,--,10104.63,10121.67,9937.81
06/18/2020,10012.05,--,9972.35,10018.56,9942.11
06/17/2020,9982.48,--,9998.86,10058.65,9952.50
06/16/2020,9949.37,--,9983.65,10010.89,9801.45
06/15/2020,9776.89,--,9517.14,9809.41,9489.58
06/12/2020,9663.77,--,9785.58,9849.01,9499.10
06/11/2020,9588.48,--,9907.56,9978.19,9586.25
06/10/2020,10094.26,--,10037.98,10155.20,10022.44
06/09/2020,9967.17,--,9861.18,10006.90,9859.00
06/08/2020,9901.52,--,9805.69,9904.52,9753.87
06/05/2020,9824.39,--,9673.09,9846.63,9659.45
06/04/2020,9629.66,--,9672.17,9741.97,9577.71
06/03/2020,9704.69,--,9689.72,9729.69,9648.93
06/02/2020,9657.31,--,9603.18,9660.08,9511.88
06/01/2020,9598.89,--,9526.43,9609.38,9515.34
05/29/2020,9555.52,--,9440.64,9573.55,9379.93
05/28/2020,9416.71,--,9404.83,9568.89,9391.84
05/27/2020,9442.05,--,9366.63,9445.06,9182.45
05/26/2020,9389.98,--,9570.53,9570.53,9379.90
05/22/2020,9413.99,--,9363.68,9421.93,9325.07
05/21/2020,9377.99,--,9487.63,9515.05,9361.83
05/20/2020,9485.02,--,9415.25,9498.28,9412.83
05/19/2020,9298.54,--,9326.28,9422.90,9296.25
05/18/2020,9331.93,--,9281.36,9367.54,9248.78
05/15/2020,9152.64,--,8976.29,9157.46,8958.08
05/14/2020,9094.43,--,8946.45,9097.75,8860.77
05/13/2020,9000.08,--,9123.69,9209.49,8890.16
05/12/2020,9112.45,--,9326.06,9354.45,9109.09
05/11/2020,9298.92,--,9155.21,9346.27,9155.21
05/08/2020,9220.35,--,9165.70,9224.49,9126.97
05/07/2020,9101.88,--,9104.67,9136.18,9045.23
05/06/2020,8984.86,--,8997.02,9065.58,8950.89
05/05/2020,8930.62,--,8922.39,9031.00,8900.57
05/04/2020,8834.11,--,8683.94,8840.33,8665.40
05/01/2020,8718.18,--,8791.88,8887.58,8688.58
04/30/2020,9000.51,--,9005.24,9023.03,8920.42
04/29/2020,8982.76,--,8871.04,9025.82,8832.00
04/28/2020,8677.60,--,8913.28,8918.38,8668.67
04/27/2020,8837.66,--,8865.58,8887.62,8803.88
04/24/2020,8786.60,--,8666.57,8791.36,8599.99
04/23/2020,8641.50,--,8693.73,8796.49,8624.63
04/22/2020,8664.63,--,8575.57,8708.48,8550.61
04/21/2020,8403.00,--,8639.74,8663.09,8359.84
04/20/2020,8726.51,--,8742.54,8855.18,8725.32
04/17/2020,8832.41,--,8876.66,8879.24,8704.38
04/16/2020,8757.83,--,8689.09,8793.35,8605.51
04/15/2020,8591.96,--,8548.47,8666.24,8500.56
04/14/2020,8692.16,--,8489.27,8708.55,8470.74
04/13/2020,8332.74,--,8209.68,8338.15,8158.58
04/09/2020,8238.53,--,8284.31,8334.23,8167.93
04/08/2020,8229.54,--,8134.30,8254.41,8058.41
04/07/2020,8049.31,--,8287.48,8305.59,8043.07
04/06/2020,8081.66,--,7819.06,8110.66,7763.09
04/03/2020,7528.11,--,7631.57,7673.49,7439.78
04/02/2020,7635.66,--,7445.88,7641.86,7432.28
04/01/2020,7486.29,--,7582.78,7701.68,7423.97
03/31/2020,7813.50,--,7855.74,8011.60,7765.45
03/30/2020,7889.01,--,7678.83,7902.09,7651.43
03/27/2020,7588.37,--,7657.44,7817.74,7580.22
03/26/2020,7897.13,--,7549.83,7913.11,7549.83
03/25/2020,7469.62,--,7543.96,7777.61,7390.41
03/24/2020,7553.82,--,7348.99,7555.91,7304.39
03/23/2020,7006.92,--,6952.71,7145.29,6771.91
03/20/2020,6994.29,--,7391.22,7487.83,6969.77
03/19/2020,7288.52,--,7190.21,7514.13,7037.47
03/18/2020,7175.18,--,7023.86,7336.88,6837.53
03/17/2020,7473.95,--,7198.53,7550.13,6959.15
03/16/2020,7020.38,--,7502.26,7563.45,6993.61
03/13/2020,7995.26,--,7683.04,7998.51,7301.88
03/12/2020,7263.65,--,7452.76,7808.31,7255.61
03/11/2020,8006.12,--,8166.26,8224.73,7900.99
03/10/2020,8372.27,--,8213.97,8376.44,7942.13
03/09/2020,7948.03,--,7912.14,8241.77,7912.14
03/06/2020,8530.34,--,8395.95,8571.88,8319.90
03/05/2020,8671.66,--,8713.19,8864.19,8613.91
03/04/2020,8949.28,--,8745.64,8952.11,8669.76
03/03/2020,8594.49,--,8892.68,9000.46,8516.58
03/02/2020,8877.98,--,8569.91,8879.39,8446.50
02/28/2020,8461.83,--,8133.85,8490.47,8133.85
02/27/2020,8436.67,--,8632.54,8786.68,8430.53
02/26/2020,8873.76,--,8883.01,9032.87,8813.92
02/25/2020,8834.87,--,9167.33,9183.78,8807.11
02/24/2020,9079.63,--,9055.30,9194.91,9028.87
02/21/2020,9446.69,--,9582.54,9594.00,9406.38
02/20/2020,9627.83,--,9696.66,9714.23,9513.23
02/19/2020,9718.73,--,9683.94,9736.57,9676.07
02/18/2020,9629.80,--,9567.27,9647.72,9567.27
02/14/2020,9623.58,--,9613.88,9634.75,9583.08
02/13/2020,9595.70,--,9540.67,9636.41,9532.74
02/12/2020,9613.20,--,9569.82,9615.90,9552.03
02/11/2020,9517.86,--,9567.81,9600.05,9493.63
02/10/2020,9516.84,--,9373.20,9517.74,9373.20
02/07/2020,9401.10,--,9397.77,9453.24,9376.91
02/06/2020,9445.92,--,9395.69,9448.72,9357.86
02/05/2020,9367.48,--,9441.34,9442.75,9311.88
02/04/2020,9334.06,--,9256.94,9352.96,9224.86
02/03/2020,9126.23,--,9033.52,9148.50,9031.07
01/31/2020,8991.51,--,9142.53,9170.22,8961.59
01/30/2020,9136.09,--,9038.92,9140.69,9019.72
01/29/2020,9101.61,--,9141.52,9153.08,9067.29
01/28/2020,9090.93,--,9013.23,9111.32,8994.28
01/27/2020,8952.18,--,8913.16,9001.44,8910.97
01/24/2020,9141.47,--,9266.35,9272.37,9101.44
01/23/2020,9216.98,--,9186.14,9221.13,9145.23
01/22/2020,9188.57,--,9212.35,9242.48,9179.27
01/21/2020,9166.63,--,9145.64,9187.42,9141.78
01/17/2020,9173.73,--,9159.48,9176.47,9118.98
01/16/2020,9125.00,--,9088.08,9126.07,9066.31
01/15/2020,9035.67,--,9039.31,9078.87,9008.95
01/14/2020,9033.42,--,9068.02,9080.16,9020.92
01/13/2020,9070.65,--,9007.94,9071.53,8991.35
01/10/2020,8966.64,--,9021.88,9024.87,8951.83
01/09/2020,8989.63,--,8990.04,9004.55,8938.53
01/08/2020,8912.37,--,8845.45,8953.55,8834.94
01/07/2020,8846.45,--,8857.14,8872.47,8821.68
01/06/2020,8848.52,--,8713.89,8849.98,8713.89
01/03/2020,8793.90,--,8755.17,8843.65,8755.17
01/02/2020,8872.22,--,8802.22,8873.63,8786.90
12/31/2019,8733.07,--,8681.33,8735.43,8674.38
12/30/2019,8709.73,--,8766.39,8768.29,8671.92
12/27/2019,8770.98,--,8805.86,8811.10,8749.86
12/26/2019,8778.31,--,8717.95,8778.33,8716.03
12/24/2019,8699.51,--,8705.30,8708.22,8684.12
12/23/2019,8696.01,--,8703.06,8710.90,8690.14
12/20/2019,8678.49,--,8666.57,8687.66,8656.48
12/19/2019,8641.29,--,8592.68,8642.74,8592.68
12/18/2019,8580.62,--,8587.20,8608.10,8578.56
12/17/2019,8575.70,--,8586.33,8592.45,8564.15
12/16/2019,8570.33,--,8544.26,8584.78,8542.42
12/13/2019,8487.71,--,8461.42,8517.52,8441.88
12/12/2019,8466.89,--,8391.91,8493.11,8380.09
12/11/2019,8402.61,--,8371.65,8408.08,8361.37
12/10/2019,8354.29,--,8364.55,8392.89,8339.37
12/09/2019,8362.74,--,8388.75,8425.77,8359.87
12/06/2019,8397.37,--,8370.23,8405.85,8365.25
12/05/2019,8308.40,--,8321.19,8321.19,8272.83
12/04/2019,8296.53,--,8291.86,8316.46,8285.88
12/03/2019,8254.74,--,8201.63,8258.40,8167.36
12/02/2019,8309.26,--,8409.87,8409.87,8274.61
11/29/2019,8403.68,--,8422.02,8435.96,8402.13
11/27/2019,8444.71,--,8407.23,8445.61,8399.63
11/26/2019,8385.75,--,8374.26,8398.04,8364.11
11/25/2019,8371.93,--,8309.55,8372.82,8309.55
11/22/2019,8272.05,--,8287.25,8292.11,8229.49
11/21/2019,8265.62,--,8273.95,8282.33,8242.22
11/20/2019,8283.75,--,8315.55,8339.26,8226.25
11/19/2019,8338.74,--,8357.43,8357.80,8308.28
11/18/2019,8328.48,--,8303.22,8340.41,8274.68
11/15/2019,8315.52,--,8303.84,8315.90,8284.20
11/14/2019,8257.83,--,8238.85,8264.94,8212.59
11/13/2019,8259.81,--,8235.68,8274.61,8233.38
11/12/2019,8263.79,--,8249.62,8293.18,8238.33
11/11/2019,8241.91,--,8212.37,8245.89,8202.36
11/08/2019,8255.89,--,8208.37,8256.29,8186.31
11/07/2019,8219.65,--,8237.68,8271.82,8198.91
11/06/2019,8196.03,--,8204.34,8204.34,8157.36
11/05/2019,8210.18,--,8225.35,8229.09,8191.05
11/04/2019,8210.66,--,8218.93,8228.33,8197.32
11/01/2019,8161.17,--,8121.95,8161.98,8111.73
10/31/2019,8083.83,--,8100.62,8110.44,8041.65
10/30/2019,8083.11,--,8056.90,8096.33,8017.92
10/29/2019,8047.51,--,8101.55,8108.61,8045.64
10/28/2019,8110.67,--,8071.39,8119.73,8070.90
10/25/2019,8029.22,--,7926.60,8033.29,7926.60
10/24/2019,7966.72,--,7956.23,7969.66,7912.72
10/23/2019,7889.47,--,7858.48,7890.21,7845.09
10/22/2019,7874.62,--,7968.25,7977.01,7871.98
10/21/2019,7940.33,--,7911.58,7941.48,7887.74
10/18/2019,7868.49,--,7938.30,7946.81,7829.75
10/17/2019,7942.14,--,7976.64,7981.14,7914.94
10/16/2019,7920.21,--,7911.99,7941.76,7898.31
10/15/2019,7942.85,--,7867.96,7960.14,7863.65
10/14/2019,7842.33,--,7834.74,7865.67,7827.16
10/11/2019,7843.87,--,7835.93,7904.05,7831.11
10/10/2019,7740.36,--,7688.42,7772.68,7682.61
10/09/2019,7690.53,--,7678.66,7717.94,7655.48
10/08/2019,7604.27,--,7671.38,7707.17,7603.76
10/07/2019,7725.13,--,7725.68,7784.79,7712.68
10/04/2019,7754.10,--,7677.33,7759.36,7670.92
10/03/2019,7638.39,--,7557.19,7640.42,7463.57
10/02/2019,7550.79,--,7627.59,7631.34,7513.69
10/01/2019,7684.14,--,7782.82,7821.72,7675.42
09/30/2019,7749.45,--,7705.97,7761.84,7693.49
09/27/2019,7681.58,--,7786.03,7790.80,7626.82
09/26/2019,7771.99,--,7794.28,7798.12,7718.69
09/25/2019,7803.54,--,7706.50,7822.43,7647.63
09/24/2019,7710.04,--,7855.97,7873.25,7684.80
09/23/2019,7818.61,--,7815.23,7842.98,7790.29
09/20/2019,7823.55,--,7901.46,7920.53,7794.27
09/19/2019,7901.79,--,7904.39,7950.21,7888.31
09/18/2019,7888.56,--,7877.58,7891.17,7791.58
09/17/2019,7888.79,--,7849.88,7891.21,7840.99
09/16/2019,7852.41,--,7833.73,7868.74,7831.76
09/13/2019,7892.95,--,7903.73,7923.41,7879.59
09/12/2019,7917.34,--,7931.96,7975.33,7907.33
09/11/2019,7887.58,--,7820.71,7888.34,7812.07
09/10/2019,7814.74,--,7793.28,7817.58,7743.61
09/09/2019,7832.40,--,7876.40,7877.41,7795.86
09/06/2019,7852.54,--,7868.87,7874.99,7835.89
09/05/2019,7862.54,--,7803.45,7879.97,7803.45
09/04/2019,7719.25,--,7683.78,7724.91,7663.64
09/03/2019,7609.51,--,7634.03,7670.17,7584.82
08/30/2019,7691.00,--,7743.23,7747.08,7642.90
08/29/2019,7702.31,--,7678.69,7723.94,7654.31
08/28/2019,7587.90,--,7536.70,7598.15,7500.22
08/27/2019,7566.03,--,7630.46,7640.68,7531.96
08/26/2019,7575.02,--,7540.69,7577.77,7506.17
08/23/2019,7464.99,--,7658.48,7722.43,7442.93
08/22/2019,7707.43,--,7750.98,7764.79,7649.28
08/21/2019,7733.22,--,7731.75,7754.66,7706.57
08/20/2019,7664.47,--,7708.31,7731.31,7664.21
08/19/2019,7719.32,--,7715.41,7740.74,7688.09
08/16/2019,7604.11,--,7548.90,7622.73,7548.90
08/15/2019,7484.89,--,7503.14,7523.50,7429.36
08/14/2019,7490.13,--,7594.64,7621.70,7480.58
08/13/2019,7728.15,--,7553.43,7778.34,7553.33
08/12/2019,7561.68,--,7597.19,7623.44,7528.95
08/09/2019,7646.27,--,7684.56,7709.50,7591.14
08/08/2019,7724.83,--,7608.03,7726.46,7576.82
08/07/2019,7551.90,--,7436.14,7569.90,7386.39
08/06/2019,7521.32,--,7492.02,7541.74,7432.31
08/05/2019,7415.69,--,7510.02,7528.90,7356.27
08/02/2019,7692.80,--,7740.91,7755.09,7645.18
08/01/2019,7801.15,--,7866.60,8000.94,7769.02
07/31/2019,7848.78,--,7972.76,7979.20,7774.93
07/30/2019,7952.47,--,7927.56,7983.11,7923.45
07/29/2019,7989.08,--,8010.05,8010.05,7939.98
07/26/2019,8016.95,--,7992.13,8027.18,7986.72
07/25/2019,7929.87,--,7979.14,7983.96,7921.21
07/24/2019,8010.60,--,7928.78,8010.83,7926.99
07/23/2019,7954.56,--,7946.05,7955.09,7895.05
07/22/2019,7905.12,--,7862.38,7918.47,7862.27
07/19/2019,7834.90,--,7944.86,7950.22,7832.39
07/18/2019,7904.13,--,7850.12,7912.33,7827.49
07/17/2019,7888.76,--,7927.91,7941.10,7887.98
07/16/2019,7927.08,--,7958.44,7965.76,7904.95
07/15/2019,7966.93,--,7961.07,7969.79,7940.45
07/12/2019,7943.24,--,7908.58,7944.08,7900.39
07/11/2019,7896.78,--,7918.65,7934.60,7873.16
07/10/2019,7903.40,--,7869.73,7923.93,7858.68
07/09/2019,7826.86,--,7748.29,7833.92,7748.23
07/08/2019,7785.79,--,7790.46,7792.20,7756.11
07/05/2019,7841.30,--,7806.07,7854.71,7774.59
07/03/2019,7857.69,--,7819.06,7857.69,7811.29
07/02/2019,7799.82,--,7763.03,7800.47,7746.01
07/01/2019,7768.14,--,7816.56,7820.81,7735.67
06/28/2019,7671.07,--,7674.52,7682.26,7639.44
06/27/2019,7657.05,--,7656.68,7672.98,7636.72
06/26/2019,7627.05,--,7642.92,7688.64,7616.91
06/25/2019,7591.54,--,7720.91,7723.04,7584.17
06/24/2019,7723.02,--,7737.00,7746.68,7720.78
06/21/2019,7728.78,--,7719.42,7772.53,7708.25
06/20/2019,7738.05,--,7770.17,7770.61,7681.43
06/19/2019,7667.74,--,7652.52,7681.56,7606.28
06/18/2019,7635.40,--,7606.61,7689.08,7595.59
06/17/2019,7526.52,--,7500.28,7546.99,7492.17
06/14/2019,7479.11,--,7476.47,7500.74,7454.87
06/13/2019,7510.68,--,7500.85,7530.91,7487.09
06/12/2019,7472.29,--,7493.55,7507.52,7459.20
06/11/2019,7513.85,--,7584.75,7595.57,7489.99
06/10/2019,7501.93,--,7472.60,7573.00,7468.17
06/07/2019,7417.29,--,7315.33,7445.99,7309.01
06/06/2019,7275.93,--,7229.86,7293.22,7201.59
